priority,net,endpoints,reason,suggested_test,status
MED,verify:14A,14A,"AI-added, moderate confidence 0.70; sheet 1 @ (4320,957)","Locate chip 14A on the PCB and read the printed part number. Expect '74LS166'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:14B,14B,"AI-added, moderate confidence 0.70; sheet 1 @ (2731,962)","Locate chip 14B on the PCB and read the printed part number. Expect 'HM6116'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:16B,16B,"AI-added, moderate confidence 0.70; sheet 1 @ (2867,962)","Locate chip 16B on the PCB and read the printed part number. Expect 'HM6116'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:17B,17B,"AI-added, moderate confidence 0.70; sheet 1 @ (3061,961)","Locate chip 17B on the PCB and read the printed part number. Expect 'HM6116'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:18B,18B,"AI-added, moderate confidence 0.70; sheet 1 @ (3061,961)","Locate chip 18B on the PCB and read the printed part number. Expect 'HM6116'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:20B,20B,"AI-added, moderate confidence 0.70; sheet 1 @ (3522,960)","Locate chip 20B on the PCB and read the printed part number. Expect 'HM6116'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:20F,20F,"AI-added, moderate confidence 0.75; sheet 1 @ (1994,1229)","Locate chip 20F on the PCB and read the printed part number. Expect '74LS151'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:20H,20H,"AI-added, moderate confidence 0.75; sheet 1 @ (1386,1235)","Locate chip 20H on the PCB and read the printed part number. Expect '74LS151'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:21B,21B,"AI-added, moderate confidence 0.70; sheet 1 @ (3522,960)","Locate chip 21B on the PCB and read the printed part number. Expect 'HM6116'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:21F,21F,"AI-added, moderate confidence 0.75; sheet 1 @ (1996,885)","Locate chip 21F on the PCB and read the printed part number. Expect '74LS151'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:21H,21H,"AI-added, moderate confidence 0.75; sheet 1 @ (1390,886)","Locate chip 21H on the PCB and read the printed part number. Expect '74LS151'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
